col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col23,col24,col25,col26,col27,col28,col29,col30,col31,target
52,1,1,2,1,1,1,3,1,1,6,2,2,2,1,2,2,2,1,2,2,3,3,1,1,2,2,1,1
15,2,1,2,1,1,3,4,2,3,3,2,2,2,1,1,1,1,2,2,2,4,3,2,1,2,1,1,1
61,1,2,2,2,2,2,4,2,1,4,2,1,1,1,2,1,2,1,1,2,1,2,1,2,1,1,3,0
21,3,2,1,2,1,1,2,4,6,5,1,1,1,1,2,2,1,1,1,2,1,2,3,1,1,1,1,0
24,2,1,2,2,2,1,3,2,4,4,1,2,2,2,2,1,1,2,1,2,2,3,1,1,2,1,2,0
3,3,1,1,2,2,3,2,3,6,2,1,1,2,2,1,1,2,1,1,1,4,1,3,1,2,2,1,0
22,2,2,1,2,2,1,1,2,1,4,2,2,2,1,1,2,1,2,1,1,4,2,1,1,1,3,2,0
53,3,2,1,1,3,1,2,4,4,6,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,2,0
2,1,1,2,1,2,3,4,1,4,1,2,2,1,2,1,2,2,2,2,1,1,1,3,1,2,1,1,1
30,1,2,1,2,3,1,2,4,6,5,1,1,1,1,2,2,1,2,2,2,2,2,3,1,1,3,2,0
38,1,1,1,2,2,2,2,2,5,5,2,2,2,1,1,2,2,1,2,1,3,3,2,1,2,1,2,1
2,3,1,2,2,3,3,2,4,2,3,1,2,1,2,2,1,1,2,1,1,1,1,3,1,1,2,3,0
64,2,1,1,2,3,2,4,4,4,2,1,2,2,2,2,2,1,1,1,2,4,1,2,2,1,1,2,1
60,2,2,2,1,1,2,4,2,4,5,1,2,2,1,2,1,2,2,2,1,2,3,1,1,1,3,3,0
21,2,1,2,2,2,2,3,1,3,3,1,1,2,1,1,1,2,1,1,2,2,3,2,2,1,3,3,1
33,1,1,2,1,3,2,2,3,1,5,2,2,2,1,1,2,2,1,2,2,1,3,1,1,1,3,3,1
58,3,1,2,2,1,1,1,4,2,1,2,2,2,1,1,1,2,2,1,2,2,1,3,2,1,2,3,1
22,2,2,1,1,2,1,2,1,2,5,2,2,2,2,1,2,1,1,2,2,2,3,3,1,2,1,2,0
49,3,1,2,2,1,3,1,1,6,1,2,1,2,1,2,1,1,2,2,1,4,2,2,2,1,2,2,0
59,2,2,1,2,3,3,3,4,5,6,2,1,1,1,2,2,1,1,1,2,2,2,1,1,1,2,1,1
42,1,1,1,2,1,2,2,2,4,4,1,1,1,2,1,1,1,1,2,1,1,3,2,1,1,1,3,0
60,3,1,2,2,1,2,1,2,4,1,2,2,2,2,2,1,2,2,2,2,1,2,3,1,2,3,2,0
15,2,2,1,1,2,3,2,4,3,6,2,2,2,1,2,1,1,1,2,2,2,2,3,2,2,3,3,1
62,2,1,2,2,3,3,2,2,2,1,2,1,2,2,2,1,2,1,2,2,2,1,1,1,1,3,3,0
62,2,1,2,1,2,3,3,2,1,1,2,2,2,2,1,1,1,1,1,2,4,3,1,1,2,3,1,0
47,2,1,2,1,2,3,1,1,5,6,2,1,2,2,1,1,1,2,1,2,2,2,3,2,1,2,3,0
62,1,2,1,2,1,2,1,3,5,5,1,2,2,1,1,1,2,1,2,2,1,3,3,2,1,1,2,0
51,2,1,2,1,3,3,4,3,5,6,1,2,1,1,2,2,1,2,2,1,2,3,1,2,2,1,2,1
55,2,1,1,2,2,1,1,2,5,2,1,1,2,1,1,2,2,1,2,2,2,2,2,1,1,1,2,0
64,1,1,2,2,3,2,2,2,6,6,1,1,2,1,1,2,1,1,1,1,2,2,2,2,1,2,2,1
3,2,2,1,2,2,1,3,4,2,1,1,2,2,1,1,1,1,1,1,2,3,1,1,2,2,3,3,0
51,3,1,1,1,1,3,4,2,4,3,1,2,1,1,2,2,2,1,2,2,3,1,1,1,1,3,2,0
7,3,2,2,1,2,1,4,4,2,5,2,2,1,2,1,2,2,1,1,1,2,1,1,2,1,1,1,0
21,2,2,1,1,2,3,2,3,6,2,2,1,2,1,1,2,2,2,1,2,2,2,3,1,2,3,3,1
39,1,1,2,2,2,1,3,1,1,2,2,2,1,1,1,2,2,2,1,2,3,1,2,2,1,2,2,1
18,1,1,1,1,3,2,4,4,5,5,1,2,1,1,2,1,1,1,1,1,4,3,1,1,2,3,2,0
4,1,1,1,1,1,1,3,1,6,3,1,1,1,1,2,2,1,2,2,2,2,1,2,1,2,3,1,0
60,2,1,2,2,3,2,1,3,2,4,2,1,1,2,2,1,2,1,2,2,2,1,3,2,2,3,3,0
14,2,1,2,1,2,1,4,1,1,5,1,1,1,1,1,1,2,2,2,1,4,1,3,2,2,1,1,1
9,3,2,1,1,1,1,4,3,3,2,2,2,1,2,2,1,2,2,1,1,1,3,1,1,2,2,1,0
53,1,2,1,2,3,2,3,1,5,4,1,1,2,1,1,2,2,1,2,2,3,3,1,1,2,1,2,1
2,2,1,2,1,2,2,4,1,6,2,2,1,2,2,1,2,2,2,1,1,3,2,1,1,2,2,2,1
60,2,1,1,2,1,3,1,2,4,1,2,2,2,1,1,1,2,1,2,1,4,1,1,1,1,1,1,0
44,2,2,2,1,1,2,4,3,4,4,1,2,1,1,2,2,1,2,2,1,3,3,2,2,1,2,3,0
8,1,1,1,2,2,2,2,4,4,6,2,2,2,2,2,1,1,2,1,1,1,3,1,2,2,2,3,1
47,1,1,1,2,1,3,4,3,1,5,2,2,2,1,2,1,2,2,1,2,1,3,2,1,2,1,3,1
35,3,1,1,2,1,2,2,2,2,5,2,1,2,2,1,1,2,1,2,2,3,2,3,2,1,1,1,0
36,1,2,2,1,3,2,4,4,5,3,1,2,1,1,2,2,2,1,1,2,1,2,3,2,2,3,3,0
50,2,1,1,1,1,1,4,2,5,4,2,1,2,2,1,1,2,1,2,1,1,2,2,1,1,2,2,0
4,3,1,2,1,3,3,4,3,6,3,2,2,1,2,1,2,1,1,2,1,1,1,2,2,1,2,1,0
2,1,1,1,1,3,3,3,3,5,5,1,2,1,2,2,2,2,2,2,1,2,3,1,2,1,2,1,1
6,1,2,2,1,3,1,4,2,5,3,2,1,1,1,1,1,2,1,2,1,4,2,1,2,2,2,1,1
54,1,2,1,1,3,3,4,4,3,4,1,2,1,2,1,1,1,2,1,2,3,2,1,1,1,2,3,0
4,1,1,1,1,1,1,1,3,6,5,2,1,2,2,1,2,1,1,2,1,2,3,3,2,1,3,3,0
54,2,2,2,1,1,2,1,2,5,2,2,2,2,2,2,1,2,1,2,1,3,3,2,1,1,3,2,0
63,1,2,1,1,3,3,2,3,3,5,2,1,1,2,1,2,1,1,1,1,4,1,2,2,1,3,3,1
18,2,1,2,1,1,2,3,2,2,3,2,2,1,2,1,2,1,1,2,2,1,1,2,1,2,2,3,0
44,2,1,1,1,3,3,1,3,4,3,1,1,2,1,1,2,1,2,2,2,3,1,2,2,1,1,3,0
34,2,1,1,1,3,2,1,3,3,5,2,2,2,1,1,2,2,2,2,2,3,2,1,1,2,1,3,1
62,3,2,2,2,3,3,3,1,4,1,1,1,2,2,1,1,1,2,1,1,2,2,1,2,1,2,2,0
